"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2024","2,257.555","2,247.749","2,277.248","2,242.396","","0.43%"
"03/25/2024","2,247.814","2,241.356","2,254.356","2,224.178","","0.85%"
"03/22/2024","2,228.957","2,255.222","2,259.914","2,220.736","","-1.17%"
"03/21/2024","2,255.255","2,296.610","2,305.606","2,219.632","","-1.81%"
"03/20/2024","2,296.716","2,246.513","2,307.537","2,238.724","","2.22%"
"03/19/2024","2,246.859","2,248.138","2,248.792","2,232.351","","-0.06%"
"03/18/2024","2,248.101","2,240.889","2,248.142","2,228.728","","1.12%"
"03/15/2024","2,223.214","2,238.058","2,250.477","2,222.491","","-0.66%"
"03/14/2024","2,238.056","2,247.155","2,248.613","2,223.485","","-0.41%"
"03/13/2024","2,247.211","2,226.145","2,249.164","2,225.898","","0.95%"
"03/12/2024","2,226.113","2,249.778","2,250.624","2,216.501","","-1.04%"
"03/11/2024","2,249.619","2,245.405","2,251.966","2,237.907","","0.56%"
"03/08/2024","2,237.167","2,220.154","2,253.254","2,208.799","","0.77%"
"03/07/2024","2,220.178","2,195.725","2,220.686","2,192.258","","1.11%"
"03/06/2024","2,195.734","2,169.305","2,198.537","2,165.412","","1.21%"
"03/05/2024","2,169.453","2,146.789","2,179.789","2,142.757","","1.05%"
"03/04/2024","2,146.816","2,104.356","2,151.136","2,099.956","","2.18%"
"03/01/2024","2,101.046","2,057.006","2,105.280","2,053.744","","2.14%"
"02/29/2024","2,056.975","2,042.187","2,061.823","2,036.099","","0.72%"
"02/28/2024","2,042.187","2,033.226","2,048.550","2,030.013","","0.44%"
"02/27/2024","2,033.340","2,033.536","2,046.759","2,031.363","","-0.01%"
"02/26/2024","2,033.536","2,033.868","2,037.476","2,026.377","","0.82%"
"02/23/2024","2,016.980","2,023.493","2,038.094","2,011.847","","-0.27%"
"02/22/2024","2,022.395","2,020.483","2,029.771","1,998.372","","0.09%"
"02/21/2024","2,020.578","2,013.685","2,025.519","2,010.831","","0.42%"
"02/20/2024","2,012.119","2,001.519","2,017.947","2,000.202","","0.53%"
"02/19/2024","2,001.443","1,995.304","2,007.879","1,995.304","","0.26%"
"02/16/2024","1,996.175","1,984.882","1,998.139","1,977.840","","0.59%"
"02/15/2024","1,984.543","1,971.564","1,988.811","1,968.182","","0.66%"
"02/14/2024","1,971.507","1,967.178","1,973.543","1,961.906","","0.21%"
"02/13/2024","1,967.364","1,995.232","2,004.288","1,936.856","","-1.33%"
"02/12/2024","1,993.934","1,999.577","2,000.645","1,986.484","","-0.17%"
"02/09/2024","1,997.269","2,006.256","2,008.877","1,991.324","","-0.45%"
"02/08/2024","2,006.256","2,003.619","2,006.762","1,987.873","","0.15%"
"02/07/2024","2,003.212","2,000.747","2,010.787","1,997.751","","0.12%"
"02/06/2024","2,000.863","1,996.186","2,009.545","1,988.341","","0.59%"
"02/05/2024","1,989.080","2,011.642","2,011.642","1,979.296","","-0.60%"
"02/02/2024","2,001.147","2,011.090","2,015.594","1,986.162","","-0.51%"
"02/01/2024","2,011.491","1,991.696","2,014.517","1,981.934","","1.00%"
"01/31/2024","1,991.522","1,988.405","2,005.885","1,982.128","","0.17%"
"01/30/2024","1,988.106","1,982.347","1,999.175","1,981.231","","0.29%"
"01/29/2024","1,982.323","1,972.839","1,987.889","1,969.648","","0.77%"
"01/26/2024","1,967.092","1,968.836","1,974.488","1,962.329","","-0.09%"
"01/25/2024","1,968.801","1,961.620","1,971.449","1,957.985","","0.38%"
"01/24/2024","1,961.354","1,975.881","1,979.937","1,953.375","","-0.75%"
"01/23/2024","1,976.077","1,966.722","1,983.385","1,956.313","","0.49%"
"01/22/2024","1,966.523","1,969.516","1,973.866","1,962.361","","-0.16%"
"01/19/2024","1,969.589","1,962.068","1,979.510","1,959.537","","0.37%"
"01/18/2024","1,962.243","1,947.682","1,963.208","1,944.090","","0.74%"
"01/17/2024","1,947.772","1,964.168","1,968.546","1,939.287","","-0.84%"
"01/16/2024","1,964.239","1,987.391","1,998.388","1,958.234","","-1.17%"
"01/15/2024","1,987.480","1,980.617","1,992.200","1,979.186","","0.20%"
"01/12/2024","1,983.503","1,967.511","1,995.155","1,962.636","","0.82%"
"01/11/2024","1,967.421","1,945.602","1,968.102","1,939.488","","1.12%"
"01/10/2024","1,945.685","1,956.678","1,965.292","1,942.516","","-0.57%"
"01/09/2024","1,956.862","1,952.532","1,963.579","1,949.580","","0.15%"
"01/08/2024","1,953.952","1,965.051","1,969.610","1,939.149","","-0.27%"
"01/05/2024","1,959.263","1,961.387","1,980.051","1,942.794","","-0.13%"
"01/04/2024","1,961.894","1,956.863","1,963.835","1,948.392","","0.26%"
"01/03/2024","1,956.835","1,971.546","1,981.116","1,943.100","","-0.67%"
"01/02/2024","1,969.953","1,959.037","1,984.646","1,959.037","","0.44%"
"01/01/2024","1,961.231","1,954.960","1,967.001","1,949.578","","1.08%"
"12/29/2023","1,940.317","1,960.943","1,972.299","1,937.149","","-1.05%"
"12/28/2023","1,960.834","1,965.831","1,975.423","1,954.199","","-0.21%"
"12/27/2023","1,964.872","1,947.211","1,970.050","1,941.604","","0.91%"
"12/26/2023","1,947.211","1,933.035","1,951.672","1,931.988","","0.56%"
"12/25/2023","1,936.275","1,931.659","1,943.900","1,914.562","","0.38%"
